Apartment Name,Average Rating,Latitude,Longitude,Price,Discount,Save money,Character,Room Type,Pets_allowed,Free canceled,Amenities,URL
Apartment in Pittsburgh,New,40.4631339,-79.94055209999999,$72,No,0,Charming 2 Floor. Blue Relax 2BR,entire_home,No,Yes,,https://airbnb.com/rooms/1244726314788577638
Home in Pittsburgh,4.86 (7),40.42837,-79.97359,$68,Yes,18,Steel City of South Side Flats,entire_home,No,Yes,,https://airbnb.com/rooms/1205274916557555912
Room in Pittsburgh,4.84 (186),40.5699,-80.05335,$39,No,0,Quiet Private Room,private_room,No,No,,https://airbnb.com/rooms/36281041
Home in Pittsburgh,4.86 (87),40.39675,-80.01963,$99,Yes,36,"Comfy, 3bedroom, Single car garage with a driveway",entire_home,No,Yes,,https://airbnb.com/rooms/716467948560149997
Apartment in Pittsburgh,4.92 (166),40.46325,-79.94813,$80,Yes,9,Lovely* Center*Bloomfield*Apt *,entire_home,No,Yes,,https://airbnb.com/rooms/51176291
Home in Pittsburgh,5.0 (8),40.56714,-80.00874,$104,No,0,The Nest in the North Hills.,entire_home,No,No,,https://airbnb.com/rooms/839606504483609764
Apartment in Glenshaw,4.95 (224),40.54704,-79.91804,$80,No,0,The Camera Stop,entire_home,No,Yes,,https://airbnb.com/rooms/43389673
Apartment in Pittsburgh,4.54 (57),40.48003,-79.94957,$51,No,0,Butler's heart!,entire_home,No,No,,https://airbnb.com/rooms/797239736755723493
Apartment in Pittsburgh,4.86 (293),40.45483,-79.99466,$76,Yes,11,"Newly Renovated, Beautifully Decorated in ❤️ of PGH",entire_home,No,No,,https://airbnb.com/rooms/49398736
Guest suite in Pittsburgh,4.97 (34),40.42805,-79.94849,$58,No,0,The Lookout In The Run,entire_home,No,No,,https://airbnb.com/rooms/830696540192300748
Townhouse in Pittsburgh,4.83 (211),40.36795,-80.02981,$139,Yes,34,Cozy 3BR Home with Fire Pit & Free Parking!,entire_home,No,Yes,,https://airbnb.com/rooms/53715923
Apartment in Pittsburgh,4.81 (216),40.4669,-80.03009,$61,No,0,Cozy 1 Bedroom Apt 5 min from Stadiums N Downtown,entire_home,No,Yes,,https://airbnb.com/rooms/27756649
Room in Pittsburgh,4.85 (47),40.470774776452004,-79.91639546242675,$34,No,0,Cozy and Chic Retreat! 2C,private_room,No,No,,https://airbnb.com/rooms/1046479149817704718
Apartment in Pittsburgh,4.99 (163),40.49262,-80.04278,$148,No,0,504 Bascom Ave Serene Luxury,entire_home,No,Yes,,https://airbnb.com/rooms/36630922
Apartment in Pittsburgh,4.81 (197),40.46637,-79.9522,$90,Yes,15,Apt 6 Bloomfield/Lawrenceville private mini studio,entire_home,No,Yes,,https://airbnb.com/rooms/31218236
Apartment in Pittsburgh,4.98 (61),40.46004,-80.01461,$114,No,0,Amazing views! Free Parking!,entire_home,No,No,,https://airbnb.com/rooms/1008088988746141082
Condo in Pittsburgh,4.56 (39),40.45403,-79.93324,$62,Yes,10,Walking Distance to Walnut St/UPMC/CMU !,entire_home,No,Yes,,https://airbnb.com/rooms/51619199
Apartment in Pittsburgh,4.85 (179),40.45079,-80.0154,$89,Yes,21,Business Suite | Walkable Entertainment,entire_home,No,No,,https://airbnb.com/rooms/45969920
Cottage in Boston,5.0 (3),40.31172,-79.83093,$160,No,0,"""Little Boston"" Cozy Cottage",entire_home,No,Yes,,https://airbnb.com/rooms/1212396488441204877
Cabin in Pittsburgh,4.93 (138),40.55345,-79.87711,$135,No,0,Cabin in Pittsburgh.  20 minutes to Pittsburgh,entire_home,No,No,,https://airbnb.com/rooms/21581663
Townhouse in Mount Washington,4.94 (79),40.429878,-80.009453,$123,Yes,14,Urban Retreat with Garage on Mt Washington,entire_home,No,No,,https://airbnb.com/rooms/631044042564529485
Guesthouse in South Side Flats,4.96 (26),40.42869,-79.97621,$41,No,0,Room in center of Southside,private_room,No,Yes,,https://airbnb.com/rooms/824171128069270843
Apartment in Bloomfield,4.81 (197),40.46637,-79.9522,$90,Yes,15,Apt 6 Bloomfield/Lawrenceville private mini studio,entire_home,No,Yes,,https://airbnb.com/rooms/31218236
Apartment in Shadyside,4.9 (242),40.45408,-79.93042,$163,Yes,19,Upscale Double King Bed Suite ~ Steps from Walnut!,entire_home,No,Yes,,https://airbnb.com/rooms/54194853
Home in Mount Washington,4.87 (162),40.43577,-80.01776,$78,No,0,Charming 1 bedroom contemporary unit with a view,entire_home,No,Yes,,https://airbnb.com/rooms/45828548
Apartment in Pittsburgh,4.92 (425),40.50506,-80.08638,$98,No,0,Historic Charmer | Spacious | Off Street Parking,entire_home,No,Yes,,https://airbnb.com/rooms/7380633
Apartment in Pittsburgh,4.97 (129),40.48280334472656,-79.97505187988281,$88,No,0,Cute Apt Minutes from Downtown and Stadiums!!,entire_home,No,Yes,,https://airbnb.com/rooms/43805814
Home in Pittsburgh,4.69 (141),40.43344,-80.06565,$91,Yes,54,Perfect Pittsburgh Home Close To City & Airport,entire_home,No,No,,https://airbnb.com/rooms/36751375
